fuente(F/W/T/Y/I),sentencia,acoso / no acoso
T,yo quiero trabajar a esa mujer,Acoso
T,las mujeres no sirven para nada,Acoso
T,Ellas se visten y provocan,Acoso
T,Son unas perras todas,Acoso
T,Se merece que nadie la ayude por ofrecida,Acoso
T,no al maltrato de huevos,Acoso
T,no sabe mover la pelvis,Acoso
T,las latinas son vagas porque no trabajan,Acoso
T,no deben tener hijos son unos maricones,Acoso
T,son mujeres con filtro solo sirven para comer,Acoso
T,eres pendeja y te quedaras pendeja,Acoso
T,son burros y piden que se les de mas,Acoso
T,los asiaticos son maricas,Acoso
T,esos cholos solo huelen a cerveza,Acoso
T,era bella ahora es bestia,Acoso
T,linda pero corrupta,Acoso
T,se imaginan una tia tan buena,Acoso
T,el bailo por chiquito solo asi sale,Acoso
T,tiktokers de m no trabajan,Acoso
T,cuanto te costaron tus senos,Acoso
T,latina toxica,Acoso
T,keiko rata,Acoso
T,eres puro plastico,Acoso
T,zorra deja a mi crush,Acoso
T,se ve perrisima,Acoso
T,el paquete esta bueno,Acoso
T,eres mi mascota perro,Acoso
T,te queria enchufar a ti,Acoso
T,pega fuerte la chingada que me das,Acoso
"F,""estas feminazis son doble cara, se hacen las ciegas, sordas y mudas"",acoso"
F,La doble moral de esta gentuza,acoso
F,estás sras tienen cirrosis!!,acoso
F,Eso lo dise por que no tiene chanba no séas cojuda,acoso
F,a ti pendeja te espera el chongo,acoso
F,Jajaja hablas estupideces,acoso
F,Que bruta y egoísta esta persona,acoso
F,Oye hueca como sabes que se van a ir,acoso
F,Cara de perra rata,acoso
F,Calla basura,acoso
F,Josefa burrra,acoso
F,esta desgraciada china de mierda,acoso
F,Jajaja hay que se cara de palo,acoso
F,Es al revés pendejoo,acoso
F,Retrasado mental,acoso
F,Eres más bruta,acoso
F,pensamiento d meqetrefes,acoso
F,Bruta no escuchaste,acoso
F,Q payasa,acoso
F,Carajo buena burros no ganan,acoso
F,Ridiculoss,acoso
F,Falsa e hipócrita no aporta nada,acoso
F,Bueno la Indira siempre fue una cabeza hueca,acoso
F,tiene cucarachas en su cabeza,acoso
F,Hola hermosa pásame tu contacto para poder chatear,acoso
F,Una rosa para la niña muy hermosa,no acoso
F,Estás bien hermosay sexy será un gusto conocerte,acoso
F,Aaaa ya se cree mucho se ganó la eliminada por bisajosa,acoso
F,HERMOSA MI AMOR MUAA MAMASIIITAA,acoso
F,Uuuy si me cataria bbst,acoso
F,Muy bonitos y maravillosos besos cálidos para ser mi amor.,acoso
F,Mamasota rica bebesota hermosa,acoso
F,Q niñas tan hermosas,acoso
F,Luces muy hermosa bby,acoso
F,Mamasita linda,acoso
F,Esta deliciosa!!,acoso
F,Mamzoooootaaa,acoso
F,Q rico bomboncito,acoso
F,Taba con la otra no seas tonta....,acoso
"F,""seguro estaba cogiendo con tu amiga, las amigas hoy en dia son las mas traicioneras"",acoso"
F,Pero que cosita saluditos a la distancia,acoso
F,que preciosa amiga estás bella y que nalguitas,acoso
F,Que riko,acoso
F,Verdad q encanta esas hermosas piernas !!,acoso
F,Q delicia,acoso
F,Hla qlindo cuerpito tiene cuanto desearia conoserte,acoso
F,Waw q rico está tu silueta,acoso
F,Qe rico bombom,acoso
F,te violo,acoso
F,rica mamacita,acoso
F,Te voy a dar muchos besitos en todo tu cuerpecito ok si,acoso
F,Pero q muñekita más linda,acoso
